Scenario;Commentaire;I_Begin_Time_H;I_End_Time_H;I_Period_UT1;I_ModeOpen_UT1_1;I_InputOpen_UT1_1;I_InputOpen_UT1_2;I_InputOpen_UT1_3;I_InputOpen_UT1_4;I_Period_UT2;I_ModeOpen_UT2;I_InputOpen_UT2_1;I_InputOpen_UT2_2;I_InputOpen_UT2_3;I_InputOpen_UT2_4;I_Period_UT3;I_ModeOpen_UT3;I_InputOpen_UT3_1;I_InputOpen_UT3_2;I_InputOpen_UT3_3;I_InputOpen_UT3_4;I_Period_UT_Close;I_InputClose_1;I_InputClose_2;I_InputPyram_1;I_InputPyram_2;I_InputPyram_3;I_Mode_SL;I_Param_SL_1;I_Param_SL_2;I_Coef_ATR_SL_Min;I_SL_Margin;I_Risque_Max_Val;I_Risque_Pct;I_Mode_Trailing;I_Param_Trail_1;I_Param_Trail_2;I_PourCent_Close;I_PourCent_Pyram;I_MovingTP;I_Strat_GoalTP;I_ModeClose;I_useStack
1;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330001;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;16;3.0;1.0;100;50;5.0;0;16;1;100;50;FALSE;150-100;0;FALSE
2;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330003;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;16;3.0;1.0;100;50;5.0;0;16;1;100;50;FALSE;150-100;0;FALSE
3;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330007;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KIJUN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;16;3.0;1.0;100;50;5.0;0;16;1;100;50;FALSE;150-100;0;FALSE
4;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330009;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;16;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;0;FALSE
5;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330011;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;16;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;0;FALSE
6;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330097;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;0;16;3.0;1.0;100;50;5.0;0;16;1;100;50;FALSE;150-100;2;FALSE
7;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330099;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;0;16;3.0;1.0;100;50;5.0;0;16;1;100;50;FALSE;150-100;2;FALSE
8;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330103;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KIJUN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;0;16;3.0;1.0;100;50;5.0;0;16;1;100;50;FALSE;150-100;2;FALSE
9;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330105;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;0;16;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;2;FALSE
10;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330107;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;0;16;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;2;FALSE
11;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330195;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;H4;Ichimoku_Alignment:9,26,52,TENKAN-KIJUN,1;;;;;0;16;3.0;1.0;100;50;5.0;0;16;1;100;50;FALSE;150-100;2;FALSE
12;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330291;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;16;3.0;1.0;100;50;5.0;0;16;1;100;50;FALSE;150-100;0;FALSE
13;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330297;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;16;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;0;FALSE
14;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330299;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;16;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;0;FALSE
15;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330301;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KIJUN,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;16;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;0;FALSE
16;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330303;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KIJUN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;16;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;0;FALSE
17;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330307;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;32;3.0;1.0;100;50;5.0;0;16;1;100;50;FALSE;150-100;0;FALSE
18;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330315;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;32;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;0;FALSE
19;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330323;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;16;3.0;1.0;100;50;5.0;0;16;1;100;50;TRUE;NO;0;FALSE
20;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330331;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;0;16;3.0;1.0;100;50;5.0;0;8;1;100;50;TRUE;NO;0;FALSE
21;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330355;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;2;Ichimoku_line_price:9,26,52,SSB,0;3.0;1.0;100;50;5.0;0;16;1;100;50;FALSE;150-100;0;FALSE
22;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330363;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;2;Ichimoku_line_price:9,26,52,SSB,0;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;0;FALSE
23;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330379;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;;;;;;2;Ichimoku_line_price:9,26,52,SSB,0;3.0;1.0;100;50;5.0;0;8;1;100;50;TRUE;NO;0;FALSE
24;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330387;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;0;16;3.0;1.0;100;50;5.0;0;16;1;100;50;FALSE;150-100;2;FALSE
25;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330395;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;0;16;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;2;FALSE
26;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330397;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KIJUN,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;0;16;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;2;FALSE
27;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330399;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KIJUN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;0;16;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;2;FALSE
28;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330411;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;0;32;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;2;FALSE
29;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330427;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;0;16;3.0;1.0;100;50;5.0;0;8;1;100;50;TRUE;NO;2;FALSE
30;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330443;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;0;32;3.0;1.0;100;50;5.0;0;8;1;100;50;TRUE;NO;2;FALSE
31;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330451;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;2;Ichimoku_line_price:9,26,52,SSB,0;3.0;1.0;100;50;5.0;0;16;1;100;50;FALSE;150-100;2;FALSE
32;camp_ICHI_W1D1H4_noStack_GO_20210508.csv 330459;445;2145;W1;1x2x3;Point_Pivot_Forex_Sens:99;Ichimoku_Alignment:9,26,52,BID-TENKAN-KIJUN-KUMO,0;;;D1;1x2x3;Ichimoku_Alignment:9,26,52,TENKAN-KUMO,0;;;;H4;1x2x3;Ichimoku_Alignment_Go:9,26,52,BID-TENKAN-KIJUN-SSA-SSB-CHIKOU,1,1;;;;D1;Ichimoku_Alignment:9,26,52,BID-KIJUN,1;;;;;2;Ichimoku_line_price:9,26,52,SSB,0;3.0;1.0;100;50;5.0;0;8;1;100;50;FALSE;150-100;2;FALSE
